name,price,type,efficiency,wattage,modular,color,brand
Montech TITAN PLA,4780.0,ATX,platinum,1200,Full,White,Montech
ASRock Challenger CL-750B,1499.8,ATX,bronze,750,false,Black,ASRock
Thermaltake TR2 S,2051.0,ATX,plus,700,false,Black,Thermaltake
be quiet! System Power 9 700 CM,3907.2,ATX,bronze,700,Semi,Black,be quiet!
NZXT C550,1799.6,ATX,bronze,550,Semi,Black,NZXT
NZXT C650 (2022),2799.6,ATX,gold,650,Full,Black,NZXT
Thermaltake Toughpower SFX,2787.6,SFX,platinum,750,Full,Black,Thermaltake
Corsair RM650,4599.8,ATX,gold,650,Full,Black,Corsair
SeaSonic SSP-300SFG,2172.0,SFX,gold,300,false,Silver,Seasonic
SeaSonic PRIME Fanless,7305.6,ATX,titanium,700,Full,Black,Seasonic
Corsair HX1500i (2022),9579.79,ATX,platinum,1500,Full,Black,Corsair
Asus ROG Strix Aura Edition,4199.8,ATX,gold,1000,Full,White,ASUS
ASRock Challenger CL-850G,1799.8,ATX,gold,850,false,Black,ASRock
Super Flower LEADEX VII XG,3699.8,ATX,gold,1000,Full,White,Super Flower
Silverstone SX700-PT,3740.6,SFX,platinum,700,Full,Black,SilverStone
be quiet! System Power 10,5420.0,ATX,bronze,750,false,Black,be quiet!
SeaSonic G12 GC,6914.4,ATX,gold,650,false,Black / Blue,Seasonic
EVGA 610 BP,2447.6,ATX,bronze,610,false,Black,EVGA
RAIJINTEK AMPERE,2300.0,ATX,platinum,850,Full,Black,Desconocida
Asus ROG Strix Aura Edition,3699.8,ATX,gold,850,Full,Black,ASUS
EVGA 650 B5,3799.8,ATX,bronze,650,Full,Black,EVGA
Silverstone SX1000-LPT,6399.8,SFX,platinum,1000,Full,Black,SilverStone
EVGA SuperNOVA 1000 G5,4748.39,ATX,gold,1000,Full,Black / Green,EVGA
Silverstone SST-TX300,1180.0,TFX,bronze,300,false,Black,SilverStone
Thermaltake Toughpower GF2 ARGB,1999.6,ATX,gold,650,Full,Black,Thermaltake
SHARKOON SilentStorm,3732.4,SFX,gold,500,Full,Black,Desconocida
Silverstone SFX,3379.0,SFX,platinum,700,Full,Black,SilverStone
Thermaltake Toughpower PF3-L,4399.8,ATX,platinum,1200,Full,Black,Thermaltake
Antec NE1000G M ATX3.0,3599.8,ATX,gold,1000,Full,Black,Antec
ASRock Taichi TC-1300T,8999.79,ATX,titanium,1300,Full,Black / Silver,ASRock
Silverstone TX500-G,3195.8,TFX,gold,500,false,Black,SilverStone
Thermaltake Smart RGB 230V,2720.0,ATX,plus,500,false,Black,Thermaltake
"FSP Group Hydro PTM X PRO,Gen5",3599.8,ATX,platinum,1000,Full,Black,FSP
Super Flower LEADEX VII XG,3799.8,ATX,gold,1000,Full,Black,Super Flower
Athena Power AP-MFATX40P8,1499.6,Flex ATX,bronze,400,false,Silver,Desconocida
Super Flower LEADEX VII Platinum PRO,3399.8,ATX,platinum,850,Full,Black,Super Flower
GAMDIAS HELIOS P2-850G,1799.8,ATX,gold,850,false,Black,Desconocida
Montech TITAN PLA,3780.0,ATX,platinum,850,Full,White,Montech
Thermaltake Toughpower GF1 PE,4319.8,ATX,gold,850,Full,Black,Thermaltake
Silverstone Strider Titanium,7799.8,ATX,titanium,1300,Full,Black / Blue,SilverStone
ENDORFY Supremo FM5,3583.8,ATX,gold,750,Full,Black,Desconocida
SeaSonic G12 GM,5852.79,ATX,gold,850,Semi,Black / Blue,Seasonic
Rosewill CMG1200G5,2599.8,ATX,gold,1200,Full,Black,Rosewill
EVGA 850 B5,3380.0,ATX,bronze,850,Full,Black,EVGA
Silverstone SFX,2221.6,SFX,bronze,450,false,Black,SilverStone
EVGA SuperNOVA 1600 P+,9186.6,ATX,platinum,1600,Full,Black,EVGA
Thermaltake Toughpower PF3-L,3699.8,ATX,platinum,1050,Full,Black,Thermaltake
SeaSonic VERTEX PX-850,6187.0,ATX,platinum,850,Full,Black / Silver,Seasonic
