name,price,socket,form_factor,max_memory,memory_slots,color,price_available,brand
MSI H55M-E23,3180.0,LGA1156,Micro ATX,8,2,Black / Blue,True,MSI
ASRock A770DE+,,AM3/AM2+/AM2,ATX,16,4,,False,ASRock
Supermicro MBD-X11SBA-LN4F-O,6746.4,Integrated Pentium N3700,Mini ITX,8,2,Green,True,Supermicro
Biostar B550MT,,AM4,Micro ATX,64,2,Black,False,Biostar
ASRock X99 Extreme6/ac,,LGA2011-3,ATX,128,8,Black / Blue,False,ASRock
ASRock EP2C602-4L/D16,,2 x LGA2011,SSI EEB,512,16,Blue / White,False,ASRock
ASRock Z490 Taichi,18210.8,LGA1200,ATX,128,4,Black / Gold,True,ASRock
Intel DG43GT,,LGA775,Micro ATX,8,4,Green / Blue,False,Intel
Biostar B650M X3D PRO+,,AM5,Micro ATX,192,4,Black / Silver,False,Biostar
MSI 880GMS-E35,1576.2,AM3,Micro ATX,16,2,Black / Blue,True,MSI
Intel DP67BGB3,,LGA1155,ATX,32,4,Black / Blue,False,Intel
ECS H81H3-TI2,,LGA1150,Thin Mini ITX,8,1,Black,False,ECS
ASRock C2550D4I,,Integrated Atom C2550,Mini ITX,64,4,White / Blue,False,ASRock
MSI MPG B850 EDGE TI WIFI,6199.8,AM5,ATX,256,4,Silver / White,True,MSI
Biostar B650MT,2500.0,AM5,Micro ATX,96,2,Black / Silver,True,Biostar
Biostar A780L,,AM3/AM2+,Micro ATX,8,2,Black / Red,False,Biostar
Gigabyte Z890M GAMING X,3399.8,LGA1851,Micro ATX,256,4,Silver / Black,True,Gigabyte
ASRock Q87M vPro/ASM,,LGA1150,Micro ATX,32,4,,False,ASRock
Asus Rampage IV Gene,,LGA2011,Micro ATX,32,4,Black / Red,False,ASUS
MSI G41M4-F,,LGA775,Micro ATX,8,2,Red,False,MSI
Zotac IONITX-K-E,,Integrated Atom 330,Mini ITX,4,2,Black / Yellow,False,Zotac
Asus PROART B650-CREATOR,6604.2,AM5,ATX,192,4,Black / Copper,True,ASUS
MSI PRO H810M-B,,LGA1851,Micro ATX,128,2,Silver / Black,False,MSI
MSI B150 PC Mate,,LGA1151,ATX,64,4,Black / Silver,False,MSI
ASRock A620M Pro RS WiFi,2978.6,AM5,Micro ATX,256,4,Silver / Black,True,ASRock
MSI H55M-P33,,LGA1156,Micro ATX,16,4,Black / Blue,False,MSI
Asus MAXIMUS VIII EXTREME/ASSEMBLY,,LGA1151,EATX,64,4,Black / Red,False,ASUS
Asus M4A88T-I Deluxe,,AM3,Mini ITX,8,2,Black / Blue,False,ASUS
Supermicro X10SDV-4C-TLN2F,,Integrated Xeon D-1521,Mini ITX,64,4,Green,False,Supermicro
ASRock H81 Pro BTC,899.59,LGA1150,ATX,16,2,Black / Silver,True,ASRock
MSI PRO Z890-P,,LGA1851,ATX,256,4,Silver / Black,False,MSI
EVGA Z590 FTW WIFI,,LGA1200,ATX,128,4,Black / Silver,False,EVGA
Asus PRIME H310-PLUS,,LGA1151,ATX,32,2,Black,False,ASUS
Gigabyte GA-H170-HD3 DDR3,,LGA1151,ATX,64,4,Black / Gold,False,Gigabyte
Supermicro X11SSA-F-B,,LGA1151,ATX,64,4,Green,False,Supermicro
Biostar A770 A2+,,AM2+/AM2,ATX,16,4,,False,Biostar
Intel DB85FL,,LGA1150,Micro ATX,32,4,Black / Blue,False,Intel
Supermicro MBD-X10DAX,18000.0,2 x LGA2011-3,EATX,2048,16,Green / Black,True,Supermicro
ASRock Z590 Phantom Gaming-ITX/TB4,10399.79,LGA1200,Mini ITX,64,2,Black / Red,True,ASRock
Gigabyte H410M H V2,2172.19,LGA1200,Micro ATX,64,2,Gray / Black,True,Gigabyte
ASRock B560M-HDV-A,,LGA1200,Micro ATX,64,2,Silver / Black,False,ASRock
MSI H61M-P25 (B3),,LGA1155,Micro ATX,16,2,Black / Blue,False,MSI
Gigabyte GA-H77N-WIFI,,LGA1155,Mini ITX,16,2,Black / Silver,False,Gigabyte
Asus M4A785-M,2854.0,AM3/AM2+/AM2,Micro ATX,16,4,Black / Blue,True,ASUS
MSI B150M BAZOOKA,,LGA1151,Micro ATX,64,4,Black / White,False,MSI
EVGA 151-SE-E779-KR,,LGA2011,XL ATX,32,4,Black / Red,False,EVGA
ASRock Z490 Phantom Gaming 4SR,,LGA1200,ATX,128,4,Black,False,ASRock
Gigabyte GA-A75-UD4H,,FM1,ATX,32,4,Blue / White,False,Gigabyte
MSI Z270I GAMING PRO CARBON AC,8099.8,LGA1151,Mini ITX,32,2,Black / Silver,True,MSI
MSI MPG Z790 EDGE WIFI DDR4,11999.8,LGA1700,ATX,128,4,Silver / Black,True,MSI
Gigabyte GA-X99-GAMING G1WIFI,,LGA2011-3,EATX,64,8,Black / Red,False,Gigabyte
ASRock 970 Extreme4,,AM3+,ATX,32,4,Black / Blue,False,ASRock
MSI MPG Z590 GAMING EDGE WIFI,,LGA1200,ATX,128,4,Black,False,MSI
Asus PRIME H310M-A R2.0,,LGA1151,Micro ATX,32,2,Black,False,ASUS
ASRock TRX40 Creator,,sTRX4,ATX,256,8,Black / Silver,False,ASRock
Zotac D2700ITXS-A-E,,Integrated Atom D2700,Mini ITX,4,2,Black / Orange,False,Zotac
Asus ROG Crosshair VIII Extreme,,AM4,EATX,128,4,Black,False,ASUS
ECS A85F2-A DELUXE(1.0),,FM2,ATX,64,4,Black / Gold,False,ECS
Asus TUF Z270 MARK 1,,LGA1151,ATX,64,4,Camo,False,ASUS
Asus GRYPHON Z97 ARMOR EDITION,,LGA1150,Micro ATX,32,4,Brown / Black,False,ASUS
MSI Big Bang Fuzion,,LGA1156,ATX,16,4,,False,MSI
Gigabyte GA-B150M-D3H,,LGA1151,Micro ATX,64,4,Black / Silver,False,Gigabyte
Asus Prime B760M-K,,LGA1700,Micro ATX,96,2,Silver / Black,False,ASUS
ECS G31T-M7,,LGA775,Micro ATX,4,2,Multicolor,False,ECS
ASRock X399D8A-2T,,sTR4,ATX,256,8,Green / Blue,False,ASRock
Gigabyte B650 AORUS ELITE,,AM5,ATX,192,4,Black / Silver,False,Gigabyte
ASRock B860I WiFi,3199.8,LGA1851,Mini ITX,128,2,Black,True,ASRock
Gigabyte X399 DESIGNARE EX,,sTR4,ATX,128,8,Silver / Black,False,Gigabyte
Gigabyte GA-Z170X-Ultra Gaming,,LGA1151,ATX,64,4,Black / Red,False,Gigabyte
ASRock A520M-HVS,1713.4,AM4,Micro ATX,64,2,Black / Silver,True,ASRock
ASRock B650M Pro X3D WiFi,2799.8,AM5,Micro ATX,256,4,Black / Silver,True,ASRock
ASRock P45X3 Deluxe,,LGA775,ATX,16,4,Black / Blue,False,ASRock
MSI B250M PRO-VH,,LGA1151,Micro ATX,32,2,Brown / Black,False,MSI
