name,price,type,max_motherboard_form_factor,color,included_psu_wattage,has_included_psu,side_panel,external_volume,internal_35_bays,price_available
Zalman S3,999.8,ATX Mid Tower,ATX,Black,,False,Acrylic,38.4,2,True
Phanteks XT View,1999.6,ATX Mid Tower,ATX,Black,,False,Tempered Glass,50.6,2,True
Cooler Master QUBE 500 Flatpack,1599.6,ATX Mid Tower,ATX,Black,,False,Tempered Glass,38.9,4,True
Lian Li Vector V100,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,53.2,1,False
Thermaltake TR100,2999.8,Mini ITX Desktop,Mini ITX,Black,,False,Mesh,20.6,0,True
Montech SKY TWO,1999.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,45.3,2,True
BitFenix Nova Mesh SE,1398.0,ATX Mid Tower,ATX,Black,,False,Tempered Glass,36.1,2,True
Corsair iCUE LINK 3500X RGB,3199.8,ATX Mid Tower,ATX,White,,False,Tempered Glass,55.9,2,True
MSI MPG GUNGNIR 110R,2199.4,ATX Mid Tower,ATX,Black,,False,Tempered Glass,,2,True
KOLINK Stronghold Prime,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,50.8,2,False
DIYPC DIY-CUBE01,1179.59,MicroATX Mini Tower,Micro ATX,White,,False,Tempered Glass,40.0,0,True
Phanteks Enthoo Pro Tempered Glass,2879.6,ATX Full Tower,ATX,Black,,False,Tinted Tempered Glass,69.1,6,True
MSI MAG PANO M100R PZ,2599.8,MicroATX Mid Tower,Micro ATX,White,,False,Tempered Glass,41.9,1,True
Cooler Master MasterBox NR200P,,Mini ITX Desktop,Mini ITX,Black,,False,Tempered Glass,20.3,2,False
Jonsbo D31 MESH,1759.8,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,31.3,1,True
Montech XR Wood,1358.0,ATX Mid Tower,ATX,White / Brown,,False,Tempered Glass,49.8,2,True
Asus ProArt PA602,5519.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,81.4,4,True
GAMDIAS ATHENA M3,1499.6,ATX Mid Tower,ATX,Black,,False,Tempered Glass,45.1,2,True
Corsair Obsidian Series 1000D,,ATX Full Tower,ATX,Black,,False,Tempered Glass,149.1,5,False
Asus A21,1159.8,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,44.0,2,True
Fractal Design North XL,3899.8,ATX Full Tower,ATX,White,,False,Mesh,61.4,2,True
Corsair 6500X,3999.8,ATX Mid Tower,ATX,White,,False,Tempered Glass,78.3,2,True
Jonsbo N5,5099.8,ATX Full Tower,ATX,Black / Brown,,False,Mesh,50.1,12,True
Phanteks EVOLV X2,4399.59,ATX Mid Tower,ATX,White,,False,Tempered Glass,60.9,2,True
NZXT H5 Flow (2022),,ATX Mid Tower,ATX,Black,,False,Tempered Glass,47.0,1,False
Corsair 2500X,2887.6,MicroATX Mini Tower,Micro ATX,White,,False,Tempered Glass,54.8,2,True
Aerocool Prism V2 RGB,1199.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,41.7,2,True
SSUPD Meshroom D,1999.8,Mini ITX Desktop,Mini ITX,Black,,False,Mesh,15.0,3,True
Okinos Aqua 3,1359.6,MicroATX Mini Tower,Micro ATX,White,,False,Tempered Glass,28.8,2,True
SAMA ARGB-Q5,1279.8,MicroATX Mini Tower,Micro ATX,White,,False,Tempered Glass,31.5,2,True
Antec NX410,1099.8,ATX Mid Tower,ATX,White,,False,Tempered Glass,39.7,2,True
Antec C8,2399.79,ATX Full Tower,ATX,White / Silver,,False,Tempered Glass,66.9,2,True
Fractal Design Pop Mini Silent,1699.8,MicroATX Mid Tower,Micro ATX,Black,,False,Solid,36.5,2,True
Lian Li Q58 (PCIe 4.0),1899.8,Mini ITX Desktop,Mini ITX,White,,False,Tempered Glass,14.5,0,True
Thermaltake Core V21,,MicroATX Mini Tower,Micro ATX,Black,,False,Acrylic,45.6,3,False
HYTE Y70,4399.8,ATX Mid Tower,ATX,White / Black,,False,Tempered Glass,70.7,2,True
Corsair iCUE 4000D RGB AIRFLOW,1799.8,ATX Mid Tower,ATX,White,,False,Tempered Glass,48.6,2,True
MSI MAG PANO M100R PZ,2555.2,MicroATX Mid Tower,Micro ATX,Black,,False,Tempered Glass,41.9,1,True
Fractal Design Era 2,4259.59,Mini ITX Tower,Mini ITX,Black / Brown,,False,Mesh,19.0,0,True
ZZEW A1 Plus,2199.79,Mini ITX Tower,Mini ITX,Silver,,False,Mesh,5.8,0,True
Fractal Design Meshify 3 Ambience Pro RGB,4799.8,ATX Mid Tower,ATX,Black,,False,Tinted Tempered Glass,50.3,2,True
Jonsbo C6,1200.0,MicroATX Mini Tower,Micro ATX,Black,,False,Mesh,15.9,1,True
