name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Patriot Viper Venom 16 GB,979.8,"5,6000","2,8",3.062,Black / Silver,12.0,36.0
Corsair Vengeance RGB Pro 32 GB,2579.8,"4,3200","4,8",4.031,Black,10.0,16.0
G.Skill Trident Z5 Neo RGB 48 GB,,"5,6000","2,24",,Black,8.667,26.0
G.Skill Ripjaws M5 RGB 32 GB,2299.79,"5,6000","2,16",3.593,White,10.0,30.0
Kingston FURY Beast 16 GB,1490.8,"4,3200","1,16",4.659,Black,10.0,16.0
G.Skill Flare X5 96 GB,6599.8,"5,6000","2,48",3.437,Black,10.0,30.0
Kingston FURY Beast 32 GB,1879.8,"5,5200","2,16",2.937,Black / Silver,15.385,40.0
Patriot Viper Venom 32 GB,1679.8,"5,5600","2,16",2.625,Black / White,12.857,36.0
Silicon Power XPOWER Storm RGB 32 GB,1899.4,"5,6400","2,16",2.968,Black,10.0,32.0
Corsair Vengeance LPX 16 GB,979.8,"4,3600","2,8",3.062,Black / Yellow,8.889,16.0
Corsair Dominator Platinum RGB 64 GB,7559.8,"5,6600","4,16",5.906,Black,9.697,32.0
Silicon Power XPOWER Storm RGB 32 GB,1719.8,"5,6000","2,16",2.687,White,12.0,36.0
TEAMGROUP Elite 16 GB,979.8,"4,3200","2,8",3.062,Black,13.75,22.0
Klevv BOLT X 32 GB,1619.6,"4,3600","2,16",2.531,Black,10.0,18.0
Crucial Classic 64 GB,2619.8,"5,5600","2,32",2.047,Black,16.429,46.0
Corsair Vengeance RGB 32 GB,1899.8,"5,6000","2,16",2.968,Black / Gray,12.0,36.0
TEAMGROUP T-Create Expert 16 GB,919.8,"4,3200","2,8",2.874,Gray,10.0,16.0
Klevv BOLT X 16 GB,959.8,"4,3600","2,8",2.999,Black,10.0,18.0
TEAMGROUP T-Force Delta RGB 32 GB,,"4,3200","2,16",,White,10.0,16.0
Corsair Vengeance 32 GB,1899.8,"5,4800","2,16",2.968,Black,16.667,40.0
G.Skill Aegis 16 GB,739.8,"4,3000","2,8",2.312,Black / Red,10.667,16.0
TEAMGROUP Elite 32 GB,1519.6,"5,5600","2,16",2.374,Black,16.429,46.0
Corsair Vengeance 32 GB,1799.8,"5,5600","2,16",2.812,Black / Gray,14.286,40.0
