name,price,rpm_min,rpm_max,noise_min_db,noise_max_db,color,radiator_size,cooler_type,price_available,brand
Thermalright Aqua Elite V3,898.0,1500.0,1500.0,25.6,25.6,Black,240.0,AIO,True,Thermalright
Jonsbo PISA A4,,800.0,1850.0,36.8,36.8,Gray,,Air,False,Jonsbo
Xilence LQ240 ARGB,,500.0,1500.0,18.0,30.2,Black,240.0,AIO,False,Xilence
Jonsbo HX5230,,700.0,1800.0,25.2,37.6,Black,,Air,False,Jonsbo
Cooler Master Wraith Ripper,5400.0,,,0.0,38.0,Black,,Air,True,Cooler Master
NZXT Kraken X42,,500.0,1800.0,21.0,38.0,,140.0,AIO,False,NZXT
Valkyrie SYN,,800.0,2150.0,29.0,29.0,White / Blue,240.0,AIO,False,Valkyrie
Deepcool LS320 WH,,500.0,2250.0,32.9,32.9,White,120.0,AIO,False,DeepCool
Corsair iCUE H115i ELITE CAPELLIX XT,,500.0,1700.0,5.0,33.8,Black,280.0,AIO,False,Corsair
Asus ROG STRIX LC II 280 ARGB,2399.79,700.0,2100.0,35.7,35.7,Black,280.0,AIO,True,ASUS
Deepcool GAMMAXX 200T,,900.0,1600.0,17.8,26.1,,,Air,False,DeepCool
Thermaltake CLP0574,,800.0,1300.0,16.0,16.0,,,Air,False,Thermaltake
Antec KUHLER H2O 950,1182.6,,,,,,120.0,AIO,True,Antec
upHere ACC92RGB,,600.0,1700.0,16.1,27.7,Black,,Air,False,upHere
Thermalright SilverArrow T8,,600.0,1800.0,19.0,25.0,Silver / Red,,Air,False,Thermalright
Intel BXXTS100H,,800.0,1800.0,20.0,35.0,,,Air,False,Intel
Thermaltake Floe DX RGB 280 TT Premium Edition,1956.8,500.0,1400.0,19.8,26.2,Black / Gray,280.0,AIO,True,Thermaltake
Enermax LIQMAX III 360 ARGB,3300.0,500.0,1600.0,14.0,27.0,White / Black,360.0,AIO,True,Enermax
Lian Li Galahad II Lite Performance,1699.8,200.0,2500.0,29.8,29.8,Black,240.0,AIO,True,Lian Li
Thermaltake Water 3.0 Riing RGB 280,2999.8,300.0,1500.0,18.5,26.4,Black / Red,280.0,AIO,True,Thermaltake
Enermax Liqmax III 120 HF,,500.0,2000.0,14.0,32.0,Black,120.0,AIO,False,Enermax
Thermaltake Riing Silent 12 Pro Red,,300.0,1400.0,12.0,19.0,,,Air,False,Thermaltake
Asus TUF Gaming LC 120 ARGB,,800.0,2000.0,,,Black,120.0,AIO,False,ASUS
Enermax LIQTECH TR4 II 360,,500.0,2300.0,14.0,28.0,Black,360.0,AIO,False,Enermax
Thermalright Royal Pretor 130 BLACK,993.8,1750.0,1750.0,28.3,28.3,Black,,Air,True,Thermalright
ID-COOLING SE-205,,1600.0,1800.0,16.2,29.2,,,Air,False,ID-COOLING
Vetroo R360,,,,,,Black,360.0,AIO,False,Vetroo
Deepcool AG620 Digital,,300.0,1950.0,29.4,29.4,White,,Air,False,DeepCool
Cooler Master Nepton 240M,,2400.0,2400.0,6.5,27.0,,240.0,AIO,False,Cooler Master
Thermaltake CLP0604,,1200.0,2100.0,21.0,48.0,,,Air,False,Thermaltake
Silverstone Hydrogon D120 ARGB,2049.4,,,0.0,30.5,Black / Silver,,Air,True,SilverStone
Enermax Liqtech TR4 II 280,,500.0,1500.0,14.0,25.0,Black,280.0,AIO,False,Enermax
Thermalright Assassin X SE,337.8,2200.0,2200.0,23.85,23.85,Black / Silver,,Air,True,Thermalright
Cougar FORZA 85,1399.6,600.0,2000.0,34.5,34.5,Black,,Air,True,Cougar
ID-COOLING SE-902,,600.0,2200.0,14.0,23.8,,,Air,False,ID-COOLING
Thermalright Assassin X 120 R Digital ARGB,498.0,2000.0,2000.0,29.8,29.8,Black,,Air,True,Thermalright
FSP Group MP7 ARGB,1099.8,800.0,1800.0,32.0,32.0,Black / Silver,,Air,True,FSP
Lian Li Galahad II LCD,4199.8,300.0,1550.0,26.7,26.7,White,280.0,AIO,True,Lian Li
RAIJINTEK MYA RBW,,200.0,1400.0,28.43,28.43,Black,,Air,False,RAIJINTEK
GAMDIAS BOREAS E2-41D,,800.0,1800.0,10.0,32.0,White,,Air,False,GAMDIAS
Asus Prime LC 360 ARGB,2099.79,600.0,2200.0,,,Black,360.0,AIO,True,ASUS
Evercool HPJ-12025,,1000.0,1000.0,21.0,21.0,,,Air,False,Evercool
Silverstone VIDA 120 SLIM,2181.8,300.0,1800.0,15.9,33.9,Black,120.0,AIO,True,SilverStone
Deepcool LT720,,500.0,2250.0,32.9,32.9,Black / Gray,360.0,AIO,False,DeepCool
ENDORFY Fera 5,550.0,250.0,1800.0,,,Black / Silver,,Air,True,ENDORFY
Thermaltake TH420 V2 Ultra ARGB Sync,4199.0,500.0,2000.0,34.7,34.7,White,420.0,AIO,True,Thermaltake
Thermaltake TOUGHLIQUID 420 EX Pro ARGB Sync,,500.0,2000.0,31.6,31.6,Black,420.0,AIO,False,Thermaltake
Zalman CNPS10X QUIET,,700.0,1400.0,26.0,26.0,,,Air,False,Zalman
Thermalright U120eXtrem1366RT R-C,,1600.0,1600.0,28.0,28.0,,,Air,False,Thermalright
GAMDIAS CHIONE M4-240,1384.6,800.0,2000.0,11.0,29.0,Black,240.0,AIO,True,GAMDIAS
