name,price,capacity,price_per_gb,type,cache,form_factor,interface
Western Digital Red Plus,1799.8,3000.0,0.03,5400,256.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,7999.8,20000.0,0.02,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,4999.8,10000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Blue Mobile,1424.6,2000.0,0.036,5400,128.0,2.5,SATA 6.0 Gb/s
Seagate SkyHawk Surveillance +Rescue,2424.0,4000.0,0.03,5400,256.0,3.5,SATA 6.0 Gb/s
Western Digital Ultrastar DC HC550,9399.79,18000.0,0.026,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,4689.0,10000.0,0.023,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital WD Red Pro,1999.8,2000.0,0.05,7200,64.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,6399.8,18000.0,0.018,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital AV-GP,699.8,1000.0,0.035,5400,64.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,2536.8,2000.0,0.063,5400,256.0,3.5,SATA 6.0 Gb/s
Seagate EXOS Enterprise,3180.0,4000.0,0.04,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate SkyHawk AI,6999.8,20000.0,0.017,7200,256.0,3.5,SATA 6.0 Gb/s
Samsung 860 Evo,2123.4,250.0,0.425,SSD,512.0,M.2-2280,M.2 SATA
Seagate IronWolf Pro NAS,4999.8,10000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,8662.0,16000.0,0.027,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,6889.0,8000.0,0.043,7200,128.0,3.5,SATA 6.0 Gb/s
Western Digital WD Red Pro,6299.8,14000.0,0.022,7200,512.0,3.5,SATA 6.0 Gb/s
Hitachi HDS723030ALA640,1399.6,3000.0,0.023,7200,64.0,3.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,4399.8,6000.0,0.037,7200,256.0,3.5,SATA 6.0 Gb/s
